2to3 3.11.2-1
acl 2.3.1-3
acpi 1.7-1.2
adduser 3.134
adwaita-icon-theme 43-1
alsa-topology-conf 1.2.5.1-2
alsa-ucm-conf 1.2.8-1
amd64-microcode 3.20230808.1.1~deb12u1
apt 2.6.1
apt-file 3.3
apt-utils 2.6.1
aptitude 0.8.13-5
aptitude-common 0.8.13-5
arch-test 0.20-1
argon2 0~20171227-0.3+deb12u1
at 3.2.5-1+b1
at-spi2-common 2.46.0-5
at-spi2-core 2.46.0-5
atm-tools 1:2.5.1-4+b2
atop 2.8.1-1
attr 1:2.5.1-4
augeas-lenses 1.14.0-1
autofs 5.1.8-2+deb12u2
avahi-daemon 0.8-10
avahi-discover 0.8-10
avahi-ui-utils 0.8-10
avahi-utils 0.8-10
b43-fwcutter 1:019-8
base-files 12.4+deb12u4
base-passwd 3.6.1
bash 5.2.15-2+b2
bash-completion 1:2.11-6
bc 1.07.1-3+b1
bind9 1:9.18.19-1~deb12u1
bind9-dnsutils 1:9.18.19-1~deb12u1
bind9-host 1:9.18.19-1~deb12u1
bind9-libs 1:9.18.19-1~deb12u1
bind9-utils 1:9.18.19-1~deb12u1
binutils 2.40-2
binutils-common 2.40-2
binutils-x86-64-linux-gnu 2.40-2
bridge-utils 1.7.1-1
broadcom-sta-dkms 6.30.223.271-23
bsd-mailx 8.1.2-0.20220412cvs-1
bsdextrautils 2.38.1-5+b1
bsdutils 1:2.38.1-5+b1
btrfs-progs 6.2-1
build-essential 12.9
busybox-static 1:1.35.0-4+b3
bzip2 1.0.8-5+b1
ca-certificates 20230311
cabextract 1.9-3
chntpw 140201-1
cifs-utils 2:7.0-2
clonezilla 5.3.17-2
cloud-guest-utils 0.33-1
cloud-image-utils 0.33-1
colord 1.4.6-2.2
colord-data 1.4.6-2.2
colordiff 1.0.20-1
command-not-found 23.04.0-1
console-setup 1.221
console-setup-linux 1.221
coreutils 9.1-1
cpio 2.13+dfsg-7.1
cpp 4:12.2.0-3
cpp-12 12.2.0-14
cron 3.0pl1-162
cron-daemon-common 3.0pl1-162
cryptsetup 2:2.6.1-4~deb12u1
cryptsetup-bin 2:2.6.1-4~deb12u1
curl 7.88.1-10+deb12u5
cvs 2:1.12.13+real-28+deb12u1
dash 0.5.12-2
db-util 5.3.2
db5.3-util 5.3.28+dfsg2-1
dbus 1.14.10-1~deb12u1
dbus-bin 1.14.10-1~deb12u1
dbus-daemon 1.14.10-1~deb12u1
dbus-session-bus-common 1.14.10-1~deb12u1
dbus-system-bus-common 1.14.10-1~deb12u1
dbus-user-session 1.14.10-1~deb12u1
dconf-gsettings-backend 0.40.0-4
dconf-service 0.40.0-4
debconf 1.5.82
debconf-i18n 1.5.82
debconf-utils 1.5.82
debian-archive-keyring 2023.3+deb12u1
debianutils 5.7-0.5~deb12u1
debootstrap 1.0.128+nmu2+deb12u1
desktop-base 12.0.6+nmu1~deb12u1
desktop-file-utils 0.26-1
dialog 1.3-20230209-1
diffutils 1:3.8-4
dirmngr 2.2.40-1.1
discount 2.2.7-2
dislocker 0.7.3-3
distro-info 1.5+deb12u1
distro-info-data 0.58+deb12u1
dkms 3.0.10-8+deb12u1
dmeventd 2:1.02.185-2
dmidecode 3.4-1
dmraid 1.0.0.rc16-12
dmsetup 2:1.02.185-2
dns-root-data 2023010101
dnsmasq-base 2.89-1
dnsmasq-utils 2.89-1
dnsutils 1:9.18.19-1~deb12u1
dosfstools 4.2-1
dpkg 1.21.22
dpkg-dev 1.21.22
drbl 5.2.7-1
dstat 0.7.4-6.1
dump 0.4b47-4
dwarves 1.24-4.1
e2fsprogs 1.47.0-2
easy-rsa 3.1.0-1
ecryptfs-utils 111-6
efibootmgr 17-2
efitools 1.9.2-3
eject 2.38.1-5+b1
elinks 0.13.2-1+b4
elinks-data 0.13.2-1
ethtool 1:6.1-1
exfatprogs 1.2.0-1+deb12u1
exo-utils 4.18.0-1
ext4magic 0.3.2-14
extlinux 3:6.04~git20190206.bf6db5b4+dfsg1-3+b1
extrace 0.7-2
exuberant-ctags 1:5.9~svn20110310-18
f2fs-tools 1.15.0-1
fakeroot 1.31-1.2
fatresize 1.1.0-2
fdisk 2.38.1-5+b1
fido2-tools 1.12.0-2+b1
file 1:5.44-3
findutils 4.9.0-4
firefox-esr 115.6.0esr-1~deb12u1
firmware-amd-graphics 20230210-5
firmware-ath9k-htc 1.4.0-108-gd856466+dfsg1-1.3+deb12u1
firmware-atheros 20230210-5
firmware-b43-installer 1:019-8
firmware-b43legacy-installer 1:019-8
firmware-bnx2 20230210-5
firmware-bnx2x 20230210-5
firmware-brcm80211 20230210-5
firmware-cavium 20230210-5
firmware-iwlwifi 20230210-5
firmware-libertas 20230210-5
firmware-linux-free 20200122-1
firmware-linux-nonfree 20230210-5
firmware-misc-nonfree 20230210-5
firmware-realtek 20230210-5
firmware-zd1211 1:1.5-10
fontconfig 2.14.1-4
fontconfig-config 2.14.1-4
fonts-dejavu 2.37-6
fonts-dejavu-core 2.37-6
fonts-dejavu-extra 2.37-6
fonts-noto-color-emoji 2.042-0+deb12u1
fonts-quicksand 0.2016-2.1
fonts-wqy-microhei 0.2.0-beta-3.1
foremost 1.5.7-11+b2
freeipmi-common 1.6.10-1
fsarchiver 0.8.7-1
fuse3 3.14.0-4
g++ 4:12.2.0-3
g++-12 12.2.0-14
galculator 2.1.4-1.2
gawk 1:5.2.1-2
gcc 4:12.2.0-3
gcc-12 12.2.0-14
gcc-12-base 12.2.0-14
gcr 3.41.1-1+b1
gddrescue 1.27-1
gdisk 1.0.9-2.1
geany 1.38-1+b1
geany-common 1.38-1
genisoimage 9:1.1.11-3.4
gettext-base 0.21-12
ghex 43.1-1
gir1.2-atk-1.0 2.46.0-5
gir1.2-freedesktop 1.74.0-3
gir1.2-gdkpixbuf-2.0 2.42.10+dfsg-1+b1
gir1.2-glib-2.0 1.74.0-3
gir1.2-gtk-3.0 3.24.38-2~deb12u1
gir1.2-harfbuzz-0.0 6.0.0+dfsg-3
gir1.2-pango-1.0 1.50.12+ds-1
git 1:2.39.2-1.1
git-man 1:2.39.2-1.1
glib-networking 2.74.0-4
glib-networking-common 2.74.0-4
glib-networking-services 2.74.0-4
gnome-accessibility-themes 3.28-2
gnome-icon-theme 3.12.0-5
gnome-keyring 42.1-1+b2
gnome-keyring-pkcs11 42.1-1+b2
gnome-themes-extra 3.28-2
gnome-themes-extra-data 3.28-2
gnupg 2.2.40-1.1
gnupg-l10n 2.2.40-1.1
gnupg-utils 2.2.40-1.1
gnutls-bin 3.7.9-2+deb12u1
gocryptfs 2.3-1+b4
gpart 1:0.3-10
gparted 1.3.1-1
gparted-common 1.3.1-1
gpg 2.2.40-1.1
gpg-agent 2.2.40-1.1
gpg-wks-client 2.2.40-1.1
gpg-wks-server 2.2.40-1.1
gpgconf 2.2.40-1.1
gpgsm 2.2.40-1.1
gpgv 2.2.40-1.1
grep 3.8-5
groff-base 1.22.4-10
grsync 1.3.0-1+b1
grub-common 2.06-13+deb12u1
grub-efi-amd64-bin 2.06-13+deb12u1
grub-efi-amd64-signed 1+2.06+13+deb12u1
grub-efi-ia32-bin 2.06-13+deb12u1
grub-pc-bin 2.06-13+deb12u1
grub2-common 2.06-13+deb12u1
